CustomerID,CustomerName,Region,CustomerSegment,SignupDate
C00163,David Brown,Kano,Small Business,2023-07-13
C00164,Esther White,Oyo,Corporate,2023-04-07
C00165,Daniel Miller,Kano,Small Business,2023-06-12
C00166,John Smith,Kano,Small Business,2025-05-14
C00167,James Taylor,Abuja,Small Business,2023-01-26
C00168,Elizabeth Smith,Lagos,,2025-02-15
C00169,Elizabeth Johnson,Abuja,Small Business,2024-08-30
C00170,Rebecca Davis,Lagos,Small Business,2025-10-19
C00171,Sarah Brown,Delta,Consumer,2024-09-15
C00172,David Miller,Kano,Consumer,2025-10-01
C00173,Esther Anderson,Delta,,2024-07-31
C00174,Rebecca Taylor,Rivers,Corporate,2025-08-14
C00175,John Taylor,Kano,Consumer,2025-03-20
C00176,James Johnson,Rivers,Corporate,2024-11-11
C00177,Victoria Harris,KANO,Corporate,2023-06-12
C00178,Daniel Williams,Abuja,Consumer,2024-09-03
C00179,Daniel Harris,Lagos,Small Business,2024-09-24
C00180,Paul Jones,Edo,Small Business,2023-10-01
C00181,Esther Jackson,Abuja,Consumer,2025-11-01
C00182,David Jackson,Enugu,Corporate,2023-07-21
C00183,Grace Harris,Rivers,Corporate,2024-10-26
C00184,David Taylor,Rivers,Corporate,2024-05-07
C00185,Rebecca Jones,Edo,Corporate,2025-05-02
C00186,Joseph Thomas,Oyo,Consumer,2024-10-25
C00187,Esther White,Abuja,Corporate,2024-07-09
C00188,Rebecca Johnson,Rivers,Small Business,2024-03-21
C00189,Grace Thomas,Edo,Consumer,2023-05-01
C00190,Michael Jones,Abuja,Small Business,2025-12-04
C00191,James Williams,Oyo,Consumer,2025-12-15
C00192,Jennifer Anderson,Rivers,Small Business,2025-06-29
C00193,John Davis,Oyo,Small Business,2024-01-17
C00194,Rebecca Anderson,Edo,Small Business,2024-11-13
C00195,James Thomas,Delta,Corporate,2023-07-10
C00196,John Wilson,Lagos,Consumer,2024-03-21
C00197,Michael Martin,Delta,Consumer,2024-09-19
C00198,Elizabeth Williams,Edo,Consumer,2023-03-04
C00199,Victoria Jones,Delta,Consumer,2023-05-12
C00200,Jennifer Miller,Lagos,,2025-09-13
C00201,Victoria White,Kano,Corporate,2024-02-12
C00202,Rebecca Thomas,Kano,Small Business,2025-04-23
C00203,John Brown,Lagos,Consumer,2024-08-21
C00204,Victoria White,Edo,Consumer,2024-01-07
C00205,Esther White,Abuja,Corporate,2023-01-09
C00206,Samuel White,Rivers,Consumer,2023-06-29
C00207,James Johnson,Rivers,Small Business,2025-08-30
C00208,Michael Brown,Enugu,Small Business,2025-04-22
C00209,Victoria Martin,Enugu,Corporate,2023-09-22
C00210,Grace Martin,Edo,Consumer,2024-07-27
C00211,Sarah Brown,Rivers,Small Business,2024-09-20
C00212,Daniel Anderson,Delta,Small Business,2025-01-23
C00213,Grace Brown,Delta,Corporate,2025-01-07
C00214,Rebecca Davis,Rivers,Corporate,2024-11-30
C00215,Rebecca Smith,Rivers,Small Business,2024-03-21
C00216,Mary Jones,Abuja,Small Business,2024-12-07
C00217,Sarah Jones,Oyo,Consumer,2025-09-23
C00218,Michael Martin,Kano,Consumer,2023-05-19
C00219,Esther Anderson,Delta,Corporate,2025-05-03
C00220,Joseph Williams,Abuja,Small Business,2024-04-07
C00221,David Davis,Delta,Corporate,2024-12-27
C00222,Elizabeth Wilson,Enugu,Small Business,2024-06-09
C00223, Mary Thomas ,Edo,Corporate,2024-10-07
C00224,Paul Wilson,Enugu,Small Business,2024-12-12
C00225,Paul Davis,Edo,Small Business,2025-05-25
C00226,Michael Jones,Oyo,Corporate,2024-05-22
C00227,James Anderson,Enugu,Small Business,2023-04-11
C00228,Mary Taylor,Delta,Small Business,2023-02-24
C00229, David Anderson ,Oyo,Small Business,2025-08-21
C00230,Daniel Martin,Delta,Small Business,2025-08-19
C00231,Samuel Smith,Enugu,Corporate,2023-12-24
C00232,John Brown,Rivers,Small Business,2025-10-15
C00233,Victoria Harris,Lagos,Small Business,2023-02-24
C00234,James Anderson,Abuja,Consumer,2025-07-11
C00235,Samuel Wilson,Delta,Small Business,2024-02-05
C00236,James Miller,Oyo,Small Business,2023-10-15
C00237,Esther Jones,Lagos,Corporate,2024-01-06
C00238,Rebecca Jackson,Kano,Small Business,2025-05-17
C00239,Rebecca Miller,Enugu,Corporate,2025-12-31
C00240,Michael Davis,Delta,Corporate,2023-07-28
C00241,Elizabeth White,Enugu,Consumer,2023-11-12
C00242,John Taylor,Delta,Corporate,2023-09-11
C00243, Victoria Taylor ,Lagos,Small Business,2024-01-12
C00244,Daniel Wilson,Lagos,Small Business,2023-10-23
C00245,James Williams,Edo,Corporate,2025-07-01
C00246,Sarah Smith,Enugu,Consumer,2025-08-12
C00247,Mary Wilson,Kano,Consumer,2025-06-07
C00248,Sarah Johnson,Abuja,Consumer,2025-09-27
C00249,Victoria Johnson,Edo,Corporate,2024-05-20
C00250,Grace Brown,Abuja,Small Business,2025-05-25
C00251,James Taylor,Edo,Consumer,2025-08-13
C00252,John Williams,Lagos,Corporate,2024-05-06
C00253,Sarah Johnson,Oyo,Corporate,2023-01-17
C00254,John Martin,Oyo,Consumer,2025-06-30
C00255,Grace Thomas,Kano,Small Business,2025-03-05
C00256,Paul White,Enugu,Corporate,2025-08-25
C00257,John Miller,Delta,Consumer,2023-03-29
C00258,John Taylor,Delta,Small Business,2025-12-07
C00259,Esther Taylor,Edo,Consumer,2023-07-07
C00260,Michael Anderson,Oyo,Small Business,2025-01-20
C00261,Mary Taylor,Delta,Consumer,2025-11-19
C00262,Victoria Wilson,Edo,Consumer,2025-10-04
C00263,Grace Davis,Lagos,Corporate,2025-12-18
C00264,Michael White,Enugu,Consumer,2025-10-25
C00265,Daniel Thomas,Edo,Consumer,2024-11-28
C00266,Joseph Brown,Kano,Consumer,2025-01-08
C00267,Joseph Wilson,Delta,,2024-05-06
C00268,Grace Smith,Edo,Consumer,2024-04-05
C00269,Paul Martin,Kano,Consumer,2025-08-14
C00270,Mary Anderson,Enugu,Consumer,2024-03-22
C00271,Mary Smith,DELTA,Consumer,2024-03-30
C00272,John Taylor,Lagos,Consumer,2023-09-15
C00273,James Taylor,Rivers,Small Business,2024-08-26
C00274,Joseph White,Kano,Small Business,2025-10-23
C00275,Mary Davis,Delta,Small Business,
C00276,Elizabeth Anderson,Delta,Corporate,2024-12-01
C00277,David Smith,Delta,Corporate,2024-07-21
C00278,Elizabeth Johnson,Kano,Consumer,2025-02-25
C00279,Paul Jones,Lagos,Small Business,2023-05-28
C00280,Paul Davis,Rivers,Small Business,2023-04-01
C00281,Michael White,Kano,Corporate,2023-12-17
C00282,Paul Williams,Rivers,Corporate,2024-08-09
C00283,Esther Johnson,Oyo,Small Business,2023-09-28
C00284,Rebecca Jackson,Enugu,Consumer,2024-09-25
C00285,David Martin,Rivers,Corporate,2025-03-13
C00286,Jennifer Martin,Enugu,Corporate,2023-01-17
C00287,Joseph White,Enugu,Corporate,2024-12-13
C00288,Daniel Taylor,Abuja,,2024-01-27
C00289,Daniel Wilson,Enugu,Consumer,2025-07-05
C00290,Rebecca White,Delta,Consumer,2025-10-26
C00291,Sarah Davis,Oyo,Corporate,2025-09-02
C00292,Esther Miller,Delta,Small Business,2023-06-25
C00293,Sarah Martin,Lagos,Corporate,2023-05-01
C00294,Grace Davis,Oyo,Consumer,2025-05-29
C00295,David White,Rivers,,2025-12-20
C00296,Joseph Wilson,Oyo,Corporate,2023-10-13
C00297,John Johnson,Edo,Corporate,2025-07-22
C00298,Daniel Johnson,Rivers,Corporate,2024-09-28
C00299,Grace Wilson,Kano,Small Business,2024-01-22
C00300,Elizabeth Jackson,Delta,Small Business,
C00301,Paul White,Edo,Consumer,2024-09-17
C00302,Esther Miller,Oyo,Consumer,2024-11-13
C00303,Victoria Smith,Edo,Small Business,2023-03-22
C00304,Rebecca Anderson,Delta,Small Business,2024-02-16
C00305,Esther Williams,Abuja,Small Business,2023-08-21
C00306,Daniel Jones,Delta,Small Business,2023-05-01
C00307,John Anderson,Rivers,Corporate,2023-12-13
C00308,Elizabeth Miller,Enugu,Small Business,2023-04-17
C00309,Paul Davis,Edo,Corporate,2024-07-12
C00310,Mary Smith,Delta,Consumer,2025-06-10
C00311,Sarah Williams,Delta,Corporate,2023-04-09
C00312,Victoria Harris,Lagos,Consumer,2025-04-02
C00313,Jennifer Wilson,Edo,Consumer,2025-12-20
C00314,Esther Martin,Abuja,Consumer,2023-07-26
C00315,Samuel Harris,Edo,Consumer,2025-09-18
C00316,Grace Williams,Kano,Small Business,2025-12-01
C00317,John Miller,Enugu,Small Business,2024-03-01
C00318,Joseph Wilson,Lagos,Consumer,2023-03-14
C00319,James Johnson,Delta,Consumer,2025-06-20
C00320,David Johnson,Oyo,Consumer,2023-02-20
C00321,Sarah Harris,Kano,Consumer,2024-07-07
C00322,Rebecca Harris,Rivers,Corporate,2023-12-25
C00323,Daniel Miller,Delta,Corporate,2023-09-24
C00324,Jennifer Jackson,Abuja,Small Business,
C00325,Rebecca Wilson,Abuja,Small Business,2024-08-23
C00326,Mary White,Lagos,Corporate,2023-06-02
C00327,Sarah Jones,Lagos,Consumer,2023-05-28
C00328,Rebecca Wilson,Lagos,Consumer,2025-11-16
C00329,David Martin,Rivers,Consumer,2024-11-27
C00330,Michael Harris,Abuja,Consumer,2025-02-20
C00331,Michael Jones,Delta,Consumer,2025-07-11
C00332,Joseph Martin,Enugu,Corporate,2023-07-21
C00333,Sarah Miller,Enugu,Corporate,2023-02-16
C00334,James Jackson,Rivers,Corporate,2024-03-28
C00335,James Jackson,Enugu,Corporate,2023-04-02
C00336,Victoria Davis,Enugu,Consumer,2023-08-22
C00337,Victoria Harris,Kano,Consumer,2023-10-08
C00338,Jennifer Davis,Lagos,Corporate,2023-06-04
C00339,Victoria Taylor,Lagos,Corporate,2023-06-28
C00340,Jennifer Taylor,Kano,Corporate,2025-10-28
C00341,Michael Martin,Kano,Small Business,2023-04-11
C00342,Michael Martin,Kano,Consumer,2023-10-11
C00343,Joseph Williams,Kano,Corporate,2025-04-06
C00344,David Thomas,Delta,Corporate,2023-08-18
C00345, Grace White ,Rivers,Consumer,2023-09-22
C00346,Joseph Wilson,Edo,Small Business,2023-12-12
C00347,Joseph Wilson,Delta,Corporate,2025-04-01
C00348,Elizabeth Brown,Oyo,Consumer,2025-08-31
C00349, Elizabeth Williams ,Delta,Small Business,2023-11-16
C00350,Elizabeth White,Delta,Small Business,2025-06-21
C00351,Joseph Williams,Rivers,Corporate,2024-05-02
C00352,Joseph Jackson,Abuja,Corporate,2025-03-04
C00353,David Johnson,Rivers,Consumer,2025-03-19
C00354,Samuel Davis,Edo,Consumer,2024-05-29
C00355,Esther Smith,Abuja,Consumer,2025-09-27
C00356,Grace Thomas,Kano,Corporate,2023-01-12
C00357,Samuel Jones,Enugu,Consumer,2024-05-18
C00358,Sarah Wilson,Lagos,Consumer,2023-11-01
C00359,Sarah Jones,Kano,Corporate,2024-01-12
C00360,Sarah Wilson,Rivers,Consumer,2024-12-23
C00361,James Thomas,Edo,Small Business,2025-04-13
C00362,Grace Williams,Abuja,Small Business,2023-09-29
C00363,Sarah White,Kano,Small Business,2023-11-26
C00364,Victoria White,Delta,Corporate,2023-09-16
C00365,Michael Taylor,Abuja,Small Business,2025-09-09
C00366,Elizabeth Miller,Oyo,Small Business,2023-06-12
C00367,Elizabeth Martin,Abuja,Corporate,2025-09-14
C00368,Michael Johnson,Kano,Consumer,2023-11-08
C00369,Daniel Taylor,Lagos,Consumer,2025-05-06
C00370,Esther Brown,Kano,Consumer,2024-09-05
C00371,Paul Miller,Rivers,Consumer,2023-01-22
C00372,Sarah Johnson,Rivers,Corporate,2024-11-24
C00373,Jennifer Harris,Edo,Consumer,2024-06-13
C00374,Michael Wilson,Enugu,Small Business,2025-10-19
C00375,Daniel Taylor,Oyo,Small Business,2024-01-09
C00376,Paul Williams,Edo,Small Business,2023-11-12
C00377,Grace Martin,Oyo,Consumer,2023-12-26
C00378,Grace Miller,Delta,Consumer,2025-03-31
C00379,Joseph Brown,Oyo,Corporate,2023-03-17
C00380,Victoria Thomas,Abuja,Consumer,2024-11-21
C00381,David Smith,Edo,Consumer,2024-03-07
C00382,David Wilson,Rivers,Consumer,2025-11-04
C00383,Jennifer Wilson,Rivers,Corporate,2024-06-07
C00384,David Smith,Oyo,Corporate,2025-11-23
C00385,Grace Davis,Edo,Small Business,2025-11-13
C00386,Esther Jones,Delta,Consumer,2024-05-30
C00387,Elizabeth Brown,Abuja,Small Business,2023-09-03
C00388,Daniel Martin,Lagos,Consumer,2024-03-20
C00389,James Anderson,Kano,Small Business,2025-07-07
C00390, Elizabeth Williams ,Abuja,Small Business,2025-12-15
C00391,Elizabeth White,Abuja,Small Business,2023-01-25
C00392,John Miller,Edo,Consumer,2024-01-26
C00393,Daniel Anderson,Delta,Corporate,2025-03-18
C00394,Paul Miller,Oyo,Small Business,2025-08-24
C00395,Mary Thomas,Delta,Corporate,2025-07-10
C00396,Daniel Jackson,RIVERS,Corporate,2024-05-11
C00397,David Jones,Oyo,Small Business,2025-09-02
C00398,Michael Harris,Lagos,Consumer,2025-02-13
C00399,James Thomas,Edo,Corporate,2023-01-22
C00400,Rebecca Thomas,Lagos,Small Business,2024-11-02
C00401,Paul Brown,ENUGU,Consumer,2025-11-26
C00402,Samuel Brown,Oyo,Consumer,2024-03-20
C00403,James Miller,Rivers,Small Business,2023-09-29
C00404,Paul Smith,Oyo,Corporate,2023-03-17
C00405,James Smith,Kano,Corporate,2023-05-11
C00406,Sarah Thomas,Enugu,Corporate,2025-05-22
C00407,Grace Jones,Enugu,Consumer,
C00408,Samuel Jackson,Delta,Consumer,2024-03-26
C00409,Samuel Johnson,Enugu,Corporate,2024-11-29
C00410,Sarah White,Abuja,Small Business,2024-09-22
C00411,Victoria Brown,Lagos,Small Business,2023-12-01
C00412,Michael Martin,Delta,Consumer,2024-02-05
C00413,Mary Martin,Enugu,Consumer,2023-05-23
C00414,Michael Jackson,Lagos,Corporate,2023-11-24
C00415,Esther Miller,Enugu,Small Business,2025-10-19
C00416, Michael Smith ,Delta,Consumer,2025-05-30
C00417,Paul White,Delta,Corporate,2024-04-17
C00418,Paul Anderson,Rivers,Corporate,2025-06-25
C00419,Jennifer Johnson,EDO,Corporate,2023-11-16
C00420,Sarah Anderson,Delta,Small Business,2023-06-11
C00421,Esther Smith,Edo,Small Business,2023-07-03
C00422,Mary Davis,Enugu,,2024-07-09
C00423,Victoria Thomas,Kano,Consumer,2025-03-05
C00424,Daniel Harris,Enugu,Corporate,2023-06-04
C00425,Paul Jones,Rivers,Corporate,2025-12-10
C00426,Paul Brown,Kano,Corporate,2023-05-10
C00427,Elizabeth Jones,Enugu,Corporate,2023-08-07
C00428,Rebecca Smith,Lagos,Consumer,2023-05-19
C00429,John Martin,Rivers,Corporate,2025-01-08
C00430,David Martin,Lagos,Corporate,
C00431,Samuel Thomas,Delta,Small Business,2023-09-30
C00432,Rebecca Johnson,Rivers,Small Business,2025-05-10
C00433,John Johnson,Abuja,Consumer,2023-06-16
C00434,John Martin,Lagos,Small Business,2024-05-04
C00435,Esther Johnson,Delta,Consumer,2024-01-24
C00436,Sarah Williams,Rivers,Corporate,2023-07-16
C00437,Paul White,Enugu,Corporate,2025-03-22
C00438,John Jones,Enugu,Consumer,2023-01-28
C00439,Samuel Davis,Rivers,Corporate,2023-02-18
C00440,Grace Davis,Rivers,Consumer,2023-03-27
C00441,Michael Jackson,Enugu,Corporate,2023-03-12
C00442,James Wilson,Rivers,Small Business,2025-10-01
C00443,Elizabeth Harris,Kano,Consumer,2023-08-19
C00444,Mary Wilson,Edo,Small Business,2023-12-25
C00445,Joseph Jones,Edo,Corporate,2025-02-02
C00446,Victoria Williams,Edo,Small Business,2023-05-11
C00447,John White,Kano,Corporate,2023-08-12
C00448,Joseph Brown,Rivers,Corporate,2025-10-13
C00449,Jennifer Thomas,Abuja,Consumer,2025-10-25
C00450,John Thomas,Kano,Consumer,2025-10-10
C00451,Sarah Taylor,Enugu,Corporate,2023-09-02
C00452, Daniel Johnson ,Kano,Corporate,2024-04-20
C00453, Paul Brown ,Oyo,Corporate,2024-09-28
C00454,Sarah Thomas,Delta,Corporate,2023-12-29
C00455,Sarah Jones,Abuja,Consumer,2023-03-17
C00456,Esther Johnson,Abuja,Consumer,2023-09-10
C00457,James Martin,Rivers,Small Business,2023-01-28
C00458,Jennifer Jackson,Edo,Corporate,2024-09-27
C00459,Elizabeth Brown,Edo,Corporate,2025-12-23
C00460,Victoria Johnson,Lagos,Corporate,2023-09-13
C00461,Rebecca Harris,Abuja,Corporate,2023-03-09
C00462,Esther Anderson,Kano,Consumer,2023-09-25
C00463,Joseph Martin,Delta,Corporate,2024-10-24
C00464,John Wilson,Enugu,Consumer,2025-10-15
C00465,Michael Brown,Oyo,Corporate,2025-11-25
C00466, Victoria Williams ,Abuja,Consumer,2023-03-07
C00467,Sarah Davis,Rivers,Small Business,2023-04-22
C00468,Grace Jackson,Edo,Small Business,2023-07-27
C00469,Samuel Smith,Delta,Corporate,2023-12-16
C00470,David Miller,Oyo,Corporate,2023-03-27
C00471,Paul Davis,Kano,Corporate,2024-05-11
C00472,Michael Jackson,Abuja,Corporate,2023-02-10
C00473,Joseph Williams,Kano,Consumer,2025-12-25
C00474,Samuel Martin,Kano,Corporate,2023-04-19
C00475,Paul Jones,Abuja,Small Business,2024-10-15
C00476,Joseph Harris,Abuja,Corporate,2025-10-05
C00477,David Harris,Edo,Corporate,2024-08-10
C00478,Paul Martin,Oyo,Consumer,2025-11-05
C00479,Victoria Brown,Abuja,Small Business,2024-01-08
C00480,Esther Harris,Kano,Corporate,2025-12-09
C00481,Mary Brown,Oyo,,2023-04-18
C00482,Grace Miller,Edo,Small Business,2024-01-12
C00483,Mary Williams,Abuja,Corporate,2024-10-24
C00484,Jennifer Wilson,Edo,Small Business,2025-12-04
C00485,Victoria Johnson,ENUGU,Corporate,2025-08-27
C00486,John Taylor,Enugu,Small Business,2025-10-07
C00487,Jennifer Smith,Abuja,Corporate,2024-03-31
C00488,Grace Wilson,Oyo,Small Business,2023-12-21
C00489,Samuel Harris,Rivers,Small Business,2025-08-17
C00490,John Johnson,Enugu,Consumer,2024-10-05
C00491,John Anderson,Enugu,Small Business,2023-02-19
C00492,James Wilson,Enugu,Small Business,2024-11-25
C00493,Grace White,Edo,Consumer,2024-11-11
C00494,Paul Jackson,Oyo,Small Business,2023-07-13
C00495,Jennifer Harris,Lagos,Consumer,2024-09-05
C00496,Mary White,Lagos,Corporate,2025-04-23
C00497,Elizabeth Anderson,Abuja,Consumer,2024-11-13
